name,month,blocked_min,eligible_min,span_min,episodes,blocked_pct,eligible_days,usable_for_trend
Leeland Street,2026-04,6896.679999783333,43200.0,43200.0,742,15.964537036535495,30.0,True
Leeland Street,2026-05,6246.0099998000005,44640.0,44640.0,643,13.991957884856633,31.0,True
Leeland Street,2026-06,4642.299999766667,43200.0,43200.0,591,10.74606481427469,30.0,True
Leeland Street,2026-07,4935.649999716667,44640.0,44640.0,626,11.056563619436977,31.0,True
Leeland Street,2026-08,4518.779999683334,44640.0,44640.0,685,10.122715053054062,31.0,True
Leeland Street,2026-09,3348.24999985,28448.3,28448.3,424,11.769596073754848,19.75576388888889,True
Lockwood Street,2022-09,4976.469999983334,33067.0,33067.0,163,15.049656757441964,22.963194444444444,True
Lockwood Street,2022-10,3281.93999995,44640.0,44640.0,204,7.352016128920251,31.0,True
Lockwood Street,2022-11,3805.7599999333333,43200.0,43200.0,182,8.809629629475308,30.0,True
Lockwood Street,2022-12,4218.719999933333,44640.0,44640.0,196,9.450537634259259,31.0,True
Lockwood Street,2023-01,2652.0299999333333,44640.0,44640.0,187,5.940927419205496,31.0,True
Lockwood Street,2023-02,3244.719999966667,40320.0,40320.0,169,8.047420634837962,28.0,True
Lockwood Street,2023-03,3457.3899999333335,44640.0,44640.0,195,7.7450492830047795,31.0,True
Lockwood Street,2023-04,3215.35999995,43200.0,43200.0,215,7.442962962847223,30.0,True
Lockwood Street,2023-05,2391.2599999333333,44640.0,44640.0,195,5.356765232825567,31.0,True
Lockwood Street,2023-06,3543.6899999833336,43200.0,43200.0,215,8.202986111072532,30.0,True
Lockwood Street,2023-07,3830.41999995,44640.0,44640.0,225,8.5806899640457,31.0,True
Lockwood Street,2023-08,3532.3099999166666,44640.0,44640.0,248,7.912880824186081,31.0,True
Lockwood Street,2023-09,3260.8199999333333,43200.0,43200.0,225,7.5481944442901225,30.0,True
Lockwood Street,2023-10,5208.4199999,44640.0,44640.0,239,11.667607526657706,31.0,True
Lockwood Street,2023-11,3846.6399999,43200.0,43200.0,234,8.904259259027777,30.0,True
Lockwood Street,2023-12,3828.24999995,44640.0,44640.0,229,8.575828852934588,31.0,True
Lockwood Street,2024-01,3256.0199999166666,44640.0,44640.0,251,7.293951612716547,31.0,True
Lockwood Street,2024-02,3857.6999999333334,41760.0,41760.0,227,9.237787356162197,29.0,True
Lockwood Street,2024-03,2732.4399998833333,44640.0,44640.0,243,6.1210573474089,31.0,True
Lockwood Street,2024-04,2459.7799999666668,41646.7,43200.0,221,5.906302299982152,28.921319444444443,True
Lockwood Street,2024-05,2757.539999883333,44640.0,44640.0,223,6.177284945975209,31.0,True
Lockwood Street,2024-06,5446.7499999833335,43200.0,43200.0,225,12.608217592554015,30.0,True
Lockwood Street,2024-07,6679.6799998999995,44640.0,44640.0,214,14.963440859991037,31.0,True
Lockwood Street,2024-08,3330.18999995,44640.0,44640.0,236,7.460103046482975,31.0,True
Lockwood Street,2024-09,2738.75999995,43200.0,43200.0,228,6.339722222106481,30.0,True
Lockwood Street,2024-10,2246.23999995,44640.0,44640.0,261,5.031899641465054,31.0,True
Lockwood Street,2024-11,2748.6699999666666,43200.0,43200.0,231,6.362662036959877,30.0,True
Lockwood Street,2024-12,2503.1199998833335,44640.0,44640.0,241,5.607347669989546,31.0,True
Lockwood Street,2025-01,2047.9599999666666,44640.0,44640.0,251,4.587724014262246,31.0,True
Lockwood Street,2025-02,1404.50999995,21509.67,40320.0,126,6.529667818939111,14.937270833333333,False
Lockwood Street,2025-03,3178.2599999833333,44640.0,44640.0,273,7.119758064478794,31.0,True
Lockwood Street,2025-04,2466.689999933333,43200.0,43200.0,275,5.709930555401234,30.0,True
Lockwood Street,2025-05,2642.7699999166666,44640.0,44640.0,271,5.920183691569593,31.0,True
Lockwood Street,2025-06,3082.8299999333335,43200.0,43200.0,299,7.136180555401235,30.0,True
Lockwood Street,2025-07,2770.109999983333,44640.0,44640.0,290,6.205443548349761,31.0,True
Lockwood Street,2025-08,2831.5599999333335,44640.0,44640.0,290,6.343100358273597,31.0,True
Lockwood Street,2025-09,2250.0899999333333,43200.0,43200.0,261,5.208541666512346,30.0,True
Lockwood Street,2025-10,2535.91,44640.0,44640.0,271,5.680801971326165,31.0,True
Lockwood Street,2025-11,2368.1199999333335,43200.0,43200.0,249,5.481759259104939,30.0,True
Lockwood Street,2025-12,2336.989999966667,44640.0,44640.0,267,5.235192652255078,31.0,True
Lockwood Street,2026-01,2202.399999933333,44640.0,44640.0,235,4.933691756123059,31.0,True
Lockwood Street,2026-02,2299.5299999333333,40320.0,40320.0,243,5.70319940459656,28.0,True
Lockwood Street,2026-03,2867.949999966667,44640.0,44640.0,291,6.424619175552569,31.0,True
Lockwood Street,2026-04,2679.0699999666667,43200.0,43200.0,278,6.201550925848766,30.0,True
Lockwood Street,2026-05,2566.5499999500003,44640.0,44640.0,261,5.749439964045699,31.0,True
Lockwood Street,2026-06,2338.5099999,43200.0,43200.0,265,5.413217592361111,30.0,True
Lockwood Street,2026-07,1985.9199999666666,44640.0,44640.0,238,4.44874551963859,31.0,True
Lockwood Street,2026-08,2454.5799999166666,44640.0,44640.0,271,5.498611110924432,31.0,True
Lockwood Street,2026-09,1879.30999995,28491.1,28491.1,181,6.596130019374471,19.78548611111111,True
Market Street,2022-09,4051.309999983333,22253.0,22253.0,224,18.205680132940874,15.453472222222222,True
Market Street,2022-10,8459.069999933334,44640.0,44640.0,407,18.94952956974313,31.0,True
Market Street,2022-11,7149.499999916667,43200.0,43200.0,401,16.549768518325617,30.0,True
Market Street,2022-12,7281.739999916666,44640.0,44640.0,430,16.312141576874254,31.0,True
Market Street,2023-01,6642.279999883333,44640.0,44640.0,409,14.879659497946536,31.0,True
Market Street,2023-02,7090.2599998000005,40320.0,40320.0,408,17.584970237599208,28.0,True
Market Street,2023-03,6545.789999833333,44640.0,44640.0,435,14.663508064142771,31.0,True
Market Street,2023-04,8474.889999883333,43200.0,43200.0,408,19.617800925655864,30.0,True
Market Street,2023-05,7535.439999816666,44640.0,44640.0,434,16.880465949410095,31.0,True
Market Street,2023-06,4961.959999916667,43200.0,43200.0,653,11.486018518325617,30.0,True
Market Street,2023-07,5469.909999733333,44640.0,44640.0,990,12.253382615890084,31.0,True
Market Street,2023-08,4395.289999533334,44640.0,44640.0,1185,9.846079748058543,31.0,True
Market Street,2023-09,3680.6799997999997,43200.0,43200.0,894,8.520092592129629,30.0,True
Market Street,2023-10,3361.7899996,39651.28,44640.0,1184,8.478389599528692,27.53561111111111,True
